Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T080_001,SE_T080_002,SE_T080_003,SE_T102_001,SE_T102_002,SE_T102_003,SE_T102_004,SE_T102_005,SE_T102_006,SE_T102_007,SE_T102_008,SE_T102_009,SE_T103_001,SE_T103_002,SE_T103_003,SE_T103_004,SE_T103_005,SE_T103_006,SE_T104_001
"25009204200","14000US25009204200","Census Tract 2042, Essex County, Massachusetts","Census Tract 2042, Essex County, Massachusetts","ma","140","00","ACSSF","0001148",,,,,"25","009",,,,"204200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,4348,3898,196,0,64,0,15,175,812,485,0,34,0,0,76,217,2503,219,418,147,122,63,100,132,67,15,174,213,195,255,73,223,87,44222,44222,55090,10135,,,,121406,20000,23324,56469,2503,70,2433,1467,207,157,198,202,335,188,180,0,1524,26,565,424,437,72,926
"25009204300","14000US25009204300","Census Tract 2043, Essex County, Massachusetts","Census Tract 2043, Essex County, Massachusetts","ma","140","00","ACSSF","0001149",,,,,"25","009",,,,"204300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3865,1986,1561,412,0,12,0,1,0,1879,784,295,21,0,0,574,205,1683,150,129,117,154,69,110,74,81,95,145,241,194,35,27,35,27,41659,41659,46755,30972,,,,48385,19954,42554,46486,1683,142,1541,1213,75,216,85,274,342,126,56,39,1247,81,480,270,382,34,977
"25009204400","14000US25009204400","Census Tract 2044, Essex County, Massachusetts","Census Tract 2044, Essex County, Massachusetts","ma","140","00","ACSSF","0001150",,,,,"25","009",,,,"204400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3347,2947,2771,14,14,29,0,0,119,400,71,20,0,0,0,136,173,1634,124,48,115,52,28,67,117,53,47,104,199,279,98,90,97,116,65000,65000,65611,,,8750,,38458,,39292,65582,1634,53,1581,653,25,35,21,125,193,164,90,0,662,16,244,144,249,9,1156
"25009204500","14000US25009204500","Census Tract 2045, Essex County, Massachusetts","Census Tract 2045, Essex County, Massachusetts","ma","140","00","ACSSF","0001151",,,,,"25","009",,,,"204500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005,2890,2712,55,0,0,0,18,105,115,47,0,24,0,0,44,0,1628,94,88,46,64,63,16,17,84,64,77,218,432,171,106,64,24,71556,71556,71121,98636,,,,,70547,82656,71552,1628,21,1607,1000,0,121,55,115,259,130,211,109,1010,18,681,114,187,10,1202
"25009204600","14000US25009204600","Census Tract 2046, Essex County, Massachusetts","Census Tract 2046, Essex County, Massachusetts","ma","140","00","ACSSF","0001152",,,,,"25","009",,,,"204600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4781,4415,4069,227,50,30,0,0,39,366,111,25,0,0,0,116,114,2132,136,156,72,191,89,59,44,145,97,122,167,376,180,90,58,150,52292,52292,60286,40714,,,,16196,,16549,59135,2132,89,2043,879,12,194,27,134,53,414,11,34,920,84,253,315,227,41,1262
"25009204701","14000US25009204701","Census Tract 2047.01, Essex County, Massachusetts","Census Tract 2047.01, Essex County, Massachusetts","ma","140","00","ACSSF","0001153",,,,,"25","009",,,,"204701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6444,5058,4386,332,0,199,0,28,113,1386,350,80,0,0,0,808,148,2601,198,210,132,128,84,200,190,107,20,156,201,339,310,81,157,88,53325,53325,57905,38093,,105682,,19712,86250,24365,58818,2601,114,2487,1313,248,63,127,111,226,331,110,97,1326,11,698,309,295,13,1119
"25009204702","14000US25009204702","Census Tract 2047.02, Essex County, Massachusetts","Census Tract 2047.02, Essex County, Massachusetts","ma","140","00","ACSSF","0001154",,,,,"25","009",,,,"204702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5678,4914,4139,332,0,300,0,28,115,764,338,74,0,0,0,352,0,2232,148,192,118,134,73,65,11,0,105,202,329,228,247,148,167,65,63333,63333,70495,29694,,66532,,11604,,12841,71302,2232,125,2107,1025,70,225,34,75,309,236,76,0,1025,0,563,177,271,14,1088
"25009205100","14000US25009205100","Census Tract 2051, Essex County, Massachusetts","Census Tract 2051, Essex County, Massachusetts","ma","140","00","ACSSF","0001155",,,,,"25","009",,,,"205100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5128,4426,4043,17,0,355,0,0,11,702,262,0,0,0,0,440,0,1854,0,47,109,14,147,80,0,55,121,105,193,286,278,84,164,171,82353,82353,81029,,,110938,,68125,,66275,83981,1854,41,1813,406,32,23,16,51,182,39,14,49,406,30,195,98,83,0,1111
"25009205200","14000US25009205200","Census Tract 2052, Essex County, Massachusetts","Census Tract 2052, Essex County, Massachusetts","ma","140","00","ACSSF","0001156",,,,,"25","009",,,,"205200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5562,4500,2984,540,43,700,0,56,177,1062,504,0,0,0,0,483,75,1989,102,72,120,82,151,85,27,117,60,189,150,232,316,132,114,40,59441,59441,58452,79306,,77992,,47841,26563,28491,65417,1989,64,1925,789,50,150,0,110,111,193,161,14,816,62,392,95,179,88,1190
"25009205300","14000US25009205300","Census Tract 2053, Essex County, Massachusetts","Census Tract 2053, Essex County, Massachusetts","ma","140","00","ACSSF","0001157",,,,,"25","009",,,,"205300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4555,4199,3627,226,0,170,0,0,176,356,278,0,0,0,0,72,6,1635,59,32,21,63,99,31,29,47,32,114,100,345,311,97,169,86,87159,87159,88021,123393,,82125,,,,44773,87386,1635,47,1588,256,0,18,0,0,135,70,19,14,308,0,101,49,84,74,1204
"25009205400","14000US25009205400","Census Tract 2054, Essex County, Massachusetts","Census Tract 2054, Essex County, Massachusetts","ma","140","00","ACSSF","0001158",,,,,"25","009",,,,"205400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878,4633,4369,146,0,45,0,13,60,245,153,9,0,0,0,0,83,1798,20,17,11,25,69,17,48,23,86,69,249,284,326,198,223,133,96905,96905,97946,80329,,,,,,,95476,1798,23,1775,138,0,0,0,0,11,12,71,44,159,0,72,22,33,32,1824
"25009205500","14000US25009205500","Census Tract 2055, Essex County, Massachusetts","Census Tract 2055, Essex County, Massachusetts","ma","140","00","ACSSF","0001159",,,,,"25","009",,,,"205500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787,2405,1580,500,0,215,12,0,98,2382,596,31,0,0,14,1477,264,1507,111,11,84,80,114,77,117,64,124,144,134,196,131,52,41,27,48772,48772,49484,50250,,37368,,46923,43889,45256,51953,1507,64,1443,654,54,107,72,120,97,86,106,12,666,41,306,95,172,52,962
"25009205600","14000US25009205600","Census Tract 2056, Essex County, Massachusetts","Census Tract 2056, Essex County, Massachusetts","ma","140","00","ACSSF","0001160",,,,,"25","009",,,,"205600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3168,2225,667,19,31,0,12,214,732,403,0,12,0,0,221,96,1521,171,109,147,76,149,88,57,35,102,75,137,95,119,46,80,35,36830,36830,49404,28000,,,,14830,21786,16974,50513,1521,56,1465,848,22,236,180,151,57,79,123,0,856,50,231,262,298,15,763
"25009205700","14000US25009205700","Census Tract 2057, Essex County, Massachusetts","Census Tract 2057, Essex County, Massachusetts","ma","140","00","ACSSF","0001161",,,,,"25","009",,,,"205700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4818,3849,2867,678,0,245,0,25,34,969,403,17,0,0,0,549,0,1628,111,60,47,55,63,108,0,10,55,184,154,209,210,144,138,80,70143,70143,65000,117045,,56944,,79583,,54706,65268,1628,41,1587,386,0,30,9,25,105,154,63,0,386,10,84,102,190,0,1289
"25009205800","14000US25009205800","Census Tract 2058, Essex County, Massachusetts","Census Tract 2058, Essex County, Massachusetts","ma","140","00","ACSSF","0001162",,,,,"25","009",,,,"205800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3414,2000,1038,337,43,374,6,140,62,1414,254,0,0,0,0,967,193,1085,88,95,48,70,7,36,74,28,42,101,210,106,83,46,36,15,54132,54132,61510,123750,,54844,,46667,,48162,61354,1085,27,1058,636,24,66,27,87,312,101,7,12,648,19,316,105,196,12,1091
"25009205900","14000US25009205900","Census Tract 2059, Essex County, Massachusetts","Census Tract 2059, Essex County, Massachusetts","ma","140","00","ACSSF","0001163",,,,,"25","009",,,,"205900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4468,2599,1621,550,0,311,0,88,29,1869,351,146,0,5,0,1356,11,1314,54,58,100,59,55,43,34,61,68,103,152,237,140,60,50,40,61310,61310,63125,100833,,46346,,54779,,53603,63958,1314,68,1246,544,0,39,36,138,119,137,58,17,563,6,196,125,217,19,1124
"25009206000","14000US25009206000","Census Tract 2060, Essex County, Massachusetts","Census Tract 2060, Essex County, Massachusetts","ma","140","00","ACSSF","0001164",,,,,"25","009",,,,"206000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3104,1693,657,592,0,337,0,7,100,1411,279,64,0,0,0,1025,43,1071,131,57,85,147,34,80,119,103,0,102,55,117,28,0,13,0,35060,35060,35156,42566,,38897,,22122,54750,33466,30000,1071,79,992,784,61,37,75,223,231,108,44,5,784,10,262,273,232,7,998
"25009206100","14000US25009206100","Census Tract 2061, Essex County, Massachusetts","Census Tract 2061, Essex County, Massachusetts","ma","140","00","ACSSF","0001165",,,,,"25","009",,,,"206100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4137,2394,641,539,0,970,0,93,151,1743,575,56,0,0,0,920,192,1361,189,189,176,124,52,52,77,45,22,110,100,104,41,57,0,23,25298,25298,21000,24677,,29000,,32763,37639,34350,18631,1361,107,1254,1056,146,136,184,225,202,90,73,0,1064,10,367,291,357,39,870
"25009206200","14000US25009206200","Census Tract 2062, Essex County, Massachusetts","Census Tract 2062, Essex County, Massachusetts","ma","140","00","ACSSF","0001166",,,,,"25","009",,,,"206200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312,2713,1310,368,54,821,0,7,153,2599,406,116,0,41,18,1691,327,1593,149,127,136,101,87,106,165,52,84,157,127,90,38,40,78,56,36934,36934,27279,38967,,53882,,36712,36422,36000,27202,1593,90,1503,1179,101,129,95,126,438,199,91,0,1204,81,371,379,331,42,1079
"25009206300","14000US25009206300","Census Tract 2063, Essex County, Massachusetts","Census Tract 2063, Essex County, Massachusetts","ma","140","00","ACSSF","0001167",,,,,"25","009",,,,"206300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3912,2174,1099,696,0,237,0,0,142,1738,865,10,0,0,0,835,28,1224,109,103,31,91,78,30,78,53,28,60,212,125,74,70,37,45,53462,53462,50833,68750,,59375,,41205,,38500,58083,1224,96,1128,617,33,58,84,66,199,160,17,0,624,21,209,157,230,7,1085
"25009206400","14000US25009206400","Census Tract 2064, Essex County, Massachusetts","Census Tract 2064, Essex County, Massachusetts","ma","140","00","ACSSF","0001168",,,,,"25","009",,,,"206400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5557,3804,2526,731,0,354,0,0,193,1753,650,239,0,0,14,785,65,1873,152,92,115,94,32,146,62,106,37,227,256,226,116,115,79,18,54171,54171,56042,54429,,73661,,37688,56563,31875,60486,1873,173,1700,776,24,28,53,111,178,198,156,28,817,0,300,184,273,60,1242
"25009206500","14000US25009206500","Census Tract 2065, Essex County, Massachusetts","Census Tract 2065, Essex County, Massachusetts","ma","140","00","ACSSF","0001169",,,,,"25","009",,,,"206500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3316,1877,729,651,0,245,0,135,117,1439,518,74,0,24,0,761,62,1003,34,117,65,44,82,59,72,29,41,37,83,109,136,15,38,42,44938,44938,29899,43625,,62083,,49583,,44875,27500,1003,72,931,565,17,25,52,45,178,188,48,12,593,0,211,149,205,28,1202
"25009206600","14000US25009206600","Census Tract 2066, Essex County, Massachusetts","Census Tract 2066, Essex County, Massachusetts","ma","140","00","ACSSF","0001170",,,,,"25","009",,,,"206600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4149,2993,2264,240,0,404,21,0,64,1156,417,89,0,0,0,643,7,1778,146,225,159,48,15,107,143,105,67,123,113,306,36,87,49,49,42542,42542,41611,35536,,82188,,98170,68594,36798,42981,1778,33,1745,1170,160,147,74,148,266,130,210,35,1186,41,466,335,302,42,1053
"25009206700","14000US25009206700","Census Tract 2067, Essex County, Massachusetts","Census Tract 2067, Essex County, Massachusetts","ma","140","00","ACSSF","0001171",,,,,"25","009",,,,"206700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4147,2342,1598,543,0,76,0,24,101,1805,673,61,0,0,0,946,125,1874,317,194,121,135,68,73,184,51,71,103,144,146,137,82,26,22,35493,35493,36375,22580,,52014,,48421,27986,39125,32917,1874,114,1760,1260,157,194,163,295,136,122,165,28,1311,31,503,288,438,51,925
"25009206800","14000US25009206800","Census Tract 2068, Essex County, Massachusetts","Census Tract 2068, Essex County, Massachusetts","ma","140","00","ACSSF","0001172",,,,,"25","009",,,,"206800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3377,1815,941,479,0,326,0,19,50,1562,323,99,0,0,0,884,256,1421,352,252,65,175,34,61,81,77,28,55,7,76,79,36,26,17,21038,21038,15972,20807,,35662,,21786,33750,23598,14646,1421,156,1265,1160,387,309,129,91,151,46,30,17,1183,56,355,468,281,23,513
"25009206900","14000US25009206900","Census Tract 2069, Essex County, Massachusetts","Census Tract 2069, Essex County, Massachusetts","ma","140","00","ACSSF","0001173",,,,,"25","009",,,,"206900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360,2476,1802,521,0,121,0,2,30,1884,444,53,13,0,0,1084,290,2144,204,346,207,240,140,27,88,115,61,122,270,170,116,15,9,14,26589,26589,22304,60964,,8819,,25694,55294,43561,19848,2144,213,1931,1833,351,245,299,298,271,203,141,25,1864,0,1049,487,272,56,813
"25009207000","14000US25009207000","Census Tract 2070, Essex County, Massachusetts","Census Tract 2070, Essex County, Massachusetts","ma","140","00","ACSSF","0001174",,,,,"25","009",,,,"207000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135,1085,612,255,0,88,11,54,65,1050,180,51,0,0,0,723,96,995,185,256,60,44,60,49,76,55,48,60,43,8,44,7,0,0,19708,19708,18000,35701,,68239,,18100,10560,14761,21875,995,131,864,856,310,137,120,33,121,102,33,0,856,39,352,284,170,11,475
"25009207100","14000US25009207100","Census Tract 2071, Essex County, Massachusetts","Census Tract 2071, Essex County, Massachusetts","ma","140","00","ACSSF","0001175",,,,,"25","009",,,,"207100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3341,1353,605,457,0,242,0,20,29,1988,751,33,8,0,0,898,298,1034,132,23,33,36,104,115,101,53,37,28,114,109,107,17,20,5,37284,37284,32500,42692,,78333,,48804,73750,36639,35759,1034,45,989,726,27,90,109,58,194,137,111,0,742,39,299,199,167,38,1102
"25009207200","14000US25009207200","Census Tract 2072, Essex County, Massachusetts","Census Tract 2072, Essex County, Massachusetts","ma","140","00","ACSSF","0001176",,,,,"25","009",,,,"207200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932,1525,636,506,0,309,0,39,35,1407,436,0,0,0,0,767,204,1062,162,229,63,46,108,41,44,10,11,11,39,134,27,0,113,24,26092,26092,19107,63000,,16000,,28024,,27481,16094,1062,62,1000,762,166,178,104,94,154,66,0,0,796,89,243,236,194,34,677
"25009208101","14000US25009208101","Census Tract 2081.01, Essex County, Massachusetts","Census Tract 2081.01, Essex County, Massachusetts","ma","140","00","ACSSF","0001177",,,,,"25","009",,,,"208101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208,4922,4485,185,0,84,0,117,51,286,208,0,0,0,0,60,18,1966,78,65,45,27,88,72,53,59,119,78,161,365,373,167,174,42,80357,80357,80522,,,,,103958,,98750,80431,1966,16,1950,416,0,47,114,55,15,118,67,0,514,0,249,36,131,98,976
"25009208102","14000US25009208102","Census Tract 2081.02, Essex County, Massachusetts","Census Tract 2081.02, Essex County, Massachusetts","ma","140","00","ACSSF","0001178",,,,,"25","009",,,,"208102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3492,3142,2900,127,0,26,0,0,89,350,116,0,0,15,0,168,51,1208,17,65,25,28,35,34,21,82,91,59,197,207,126,75,86,60,71538,71538,70923,,,,,,62381,101563,70923,1208,35,1173,205,50,31,0,11,21,86,6,0,251,62,81,38,24,46,1125
"25009208200","14000US25009208200","Census Tract 2082, Essex County, Massachusetts","Census Tract 2082, Essex County, Massachusetts","ma","140","00","ACSSF","0001179",,,,,"25","009",,,,"208200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5281,5206,5050,40,0,116,0,0,0,75,75,0,0,0,0,0,0,2173,160,170,109,44,119,16,61,87,0,82,369,327,244,158,64,163,71231,71231,71383,,,66625,,,,,71803,2173,158,2015,463,96,116,14,12,129,25,56,15,493,0,190,154,105,44,846
"25009208300","14000US25009208300","Census Tract 2083, Essex County, Massachusetts","Census Tract 2083, Essex County, Massachusetts","ma","140","00","ACSSF","0001180",,,,,"25","009",,,,"208300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7297,7040,6733,85,0,87,0,0,135,257,241,12,0,0,0,4,0,2792,149,147,100,34,238,89,95,138,61,72,266,483,366,185,253,116,75547,75547,73875,,,,,,,,71941,2792,61,2731,620,161,60,21,74,122,100,64,18,656,0,346,194,80,36,992
"25009208400","14000US25009208400","Census Tract 2084, Essex County, Massachusetts","Census Tract 2084, Essex County, Massachusetts","ma","140","00","ACSSF","0001181",,,,,"25","009",,,,"208400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6091,5995,5540,120,0,335,0,0,0,96,96,0,0,0,0,0,0,2206,23,94,38,46,73,69,70,31,57,179,251,237,369,238,244,187,89000,89000,84646,,,175096,,,,,84717,2206,0,2206,431,0,0,0,23,42,16,156,194,458,0,226,167,38,27,1931
"25009209100","14000US25009209100","Census Tract 2091, Essex County, Massachusetts","Census Tract 2091, Essex County, Massachusetts","ma","140","00","ACSSF","0001182",,,,,"25","009",,,,"209100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6271,6093,5683,140,0,243,0,0,27,178,44,1,0,0,0,133,0,2394,30,85,57,141,42,55,31,24,42,129,117,345,257,249,395,395,108867,108867,106287,163810,,157941,,,,,106287,2394,44,2350,468,30,67,35,61,64,43,99,69,468,78,188,87,101,14,1160
